Trial ID,Score,filter_1,filter_2,kernel_size,lr,batch_size
45,0.583729506,16,64,7,1.00E-05,128
30,0.615161121,64,32,5,1.00E-05,128
11,0.618858933,64,32,5,1.00E-05,128
22,0.630744874,32,32,3,1.00E-05,32
4,0.634178579,16,64,7,1.00E-05,128
42,0.645536184,32,64,7,1.00E-05,128
10,0.649233997,16,128,7,1.00E-05,64
15,0.653988361,32,64,5,1.00E-05,64
43,0.675118864,16,128,3,1.00E-05,64
39,0.710248291,16,128,7,1.00E-05,64
44,0.714738488,16,64,7,1.00E-05,32
34,0.716587424,64,128,3,1.00E-05,64
14,0.7171157,16,128,5,1.00E-05,32
48,0.740887463,16,64,3,1.00E-05,64
36,0.751188576,16,128,5,1.00E-05,32
37,0.760697305,32,32,5,0.01,32
3,0.777601719,16,128,7,0.01,64
6,0.782620192,16,64,5,0.01,64
32,0.788695216,16,64,5,0.0001,64
35,0.790544093,64,128,5,0.01,64
13,0.805071294,32,128,3,1.00E-05,64
28,0.805863738,64,32,3,0.01,64
1,0.828578949,64,64,5,0.01,128
18,0.840200722,16,32,7,0.0001,32
17,0.865821421,16,128,5,0.0001,64
19,0.869783401,32,128,3,0.0001,128
38,0.870839953,64,32,5,0.0001,32
9,0.87929213,64,64,5,0.0001,32
20,0.881405175,16,64,5,0.01,128
2,0.882197559,16,32,3,0.01,128
24,0.882989943,16,64,3,0.0001,64
21,0.889857352,32,128,5,0.0001,64
26,0.890913904,16,128,3,0.001,128
23,0.895139992,16,128,7,0.0001,32
25,0.895668268,64,128,7,0.0001,32
49,0.896988928,16,64,7,0.001,64
8,0.905176997,32,128,7,0.0001,32
12,0.905969381,64,128,7,0.001,32
27,0.910987854,32,128,7,0.001,64
31,0.914421558,16,128,7,0.001,128
47,0.918119371,16,32,5,0.001,32
5,0.920760691,32,64,5,0.001,128
40,0.922345459,32,64,5,0.0001,32
7,0.93159008,16,32,5,0.001,64
41,0.932118356,16,64,3,0.001,128
46,0.936344445,64,64,5,0.001,32
0,0.936872661,64,128,5,0.001,32
29,0.936872661,64,128,7,0.001,128
33,0.941362917,32,64,3,0.001,32
16,0.947437942,32,128,3,0.001,32
