,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_epochs,param_lr,param_num_layers,param_optimizer_name,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,46.29891022,0.071518768,0.869888703,0.02511277,relu,30,1.00E-05,1,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 32}",0.639936626,0.659058511,0.640196562,0.646397233,0.008953505,94
1,46.74208601,0.11688719,0.799813271,0.018228687,relu,30,1.00E-05,1,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 64}",0.69302696,0.695831358,0.693453789,0.694104036,0.001233769,85
2,46.21913099,1.697652962,0.881166776,0.206780862,relu,30,1.00E-05,1,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 128}",0.709350228,0.718497396,0.710572183,0.712806602,0.004054803,73
3,46.63427973,0.078676019,1.003735622,0.049278481,relu,30,1.00E-05,1,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 256}",0.72789222,0.741004884,0.726422548,0.731773218,0.00655529,62
4,41.0615224,0.453418457,1.109876951,0.135651038,relu,30,1.00E-05,1,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 32}",0.218383521,0.234268501,0.241084158,0.231245394,0.00951084,127
5,43.69044367,1.182013783,1.406930765,0.337196944,relu,30,1.00E-05,1,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 64}",0.235023767,0.217150107,0.220795691,0.224323188,0.007711435,133
6,45.79476913,0.038223086,1.20942537,0.051124991,relu,30,1.00E-05,1,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 128}",0.238510296,0.212712005,0.209541917,0.220254739,0.012973341,139
7,49.40204024,0.106196223,1.712298473,0.026456505,relu,30,1.00E-05,1,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 256}",0.2318542,0.229513392,0.217625618,0.22633107,0.00622942,131
8,47.42578657,0.717320999,2.429462115,0.433814564,relu,30,1.00E-05,2,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 32}",0.60729003,0.64162308,0.612933934,0.620615681,0.01503211,95
9,50.42462023,0.910898047,2.474373102,0.381085708,relu,30,1.00E-05,2,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 64}",0.703169584,0.700427949,0.701061964,0.701553166,0.001171921,82
